Country,Year,FAO_Area,FAO_Species_Code,FAO_Species_Name,Species scientific name,Landings
BEL,1905,VI,DGZ,Dogfishes nei,Squalus spp,
BEL,1905,VI,FIN,Finfishes nei,Osteichthyes,
BEL,1905,VI,FLE,European flounder,Platichthys flesus,
BEL,1905,VI,GUX,"Gurnards, searobins nei",Triglidae,
BEL,1905,VI,HAD,Haddock,Melanogrammus aeglefinus,38
BEL,1905,VI,HAL,Atlantic halibut,Hippoglossus hippoglossus,4
BEL,1905,VI,HKE,European hake,Merluccius merluccius,
BEL,1905,VI,HOM,Atlantic horse mackerel,Trachurus trachurus,
BEL,1905,VI,JOD,John dory,Zeus faber,
BEL,1905,VI,LEM,Lemon sole,Microstomus kitt,1
BEL,1905,VI,LIN,Ling,Molva molva,
BEL,1905,VI,MAC,Atlantic mackerel,Scomber scombrus,
BEL,1905,VI,MUR,Surmullet,Mullus surmuletus,
BEL,1905,VI,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,12
BEL,1905,VI,PLE,European plaice,Pleuronectes platessa,1
BEL,1905,VI,POK,Saithe(=Pollock),Pollachius virens,
BEL,1905,VI,POL,Pollack,Pollachius pollachius,
BEL,1905,VI,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,
BEL,1905,VI,SOL,Common sole,Solea solea,
BEL,1905,VI,SPR,European sprat,Sprattus sprattus,
BEL,1905,VI,TUR,Turbot,Psetta maxima,1
BEL,1905,VI,WHG,Whiting,Merlangius merlangus,
BEL,1905,"VIId,e",BLL,Brill,Scophthalmus rhombus,6
BEL,1905,"VIId,e",COD,Atlantic cod,Gadus morhua,29
BEL,1905,"VIId,e",COE,European conger,Conger conger,121
BEL,1905,"VIId,e",DAB,Common dab,Limanda limanda,9
BEL,1905,"VIId,e",DGZ,Dogfishes nei,Squalus spp,7
BEL,1905,"VIId,e",FIN,Finfishes nei,Osteichthyes,99
BEL,1905,"VIId,e",FLE,European flounder,Platichthys flesus,
